Order,Level,Code,Parent,Code_comm,Parent,Description_complex,Description
1654736,4,30251000010,30200000080,,3.02,"- Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 030291 to 030299",
1654737,5,30251000080,30251000010,302.51,,"-- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","Fresh or chilled cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"""
1654738,5,30252000080,30251000010,302.52,,-- Haddock (Melanogrammus aeglefinus),"Fresh or chilled haddock ""Melanogrammus aeglefinus"""
1654739,5,30253000080,30251000010,302.53,,-- Coalfish (Pollachius virens),"Fresh or chilled coalfish ""Pollachius virens"""
1654740,5,30254000080,30251000010,302.54,,"-- Hake (Merluccius spp., Urophycis spp.)","Fresh or chilled hake ""Merluccius spp., Urophycis spp."""
1654741,5,30255000080,30251000010,302.55,,-- Alaska pollock (Theragra chalcogramma),"Fresh or chilled Alaska pollack ""Theragra chalcogramma"""
1654742,5,30256000080,30251000010,302.56,,"-- Blue whiting (Micromesistius poutassou, Micromesistius australis)","Fresh or chilled blue whiting ""Micromesistius poutassou, Micromesistius australis"""
1654743,5,30259000080,30251000010,302.59,,-- Other,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake, Alaska pollack and blue whitings)"
1654744,4,30271000010,30200000080,,3.02,"- Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 030291 to 030299",
1654745,5,30271000080,30271000010,302.71,,-- Tilapias (Oreochromis spp.),"Fresh or chilled tilapia ""Oreochromis spp."""
1654746,5,30272000080,30271000010,302.72,,"-- Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","Fresh or chilled catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
1654747,5,30273000080,30271000010,302.73,,"-- Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","Fresh or chilled carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."""
1654748,5,30274000080,30271000010,302.74,,-- Eels (Anguilla spp.),"Fresh or chilled eels ""Anguilla spp."""
1654749,5,30279000080,30271000010,302.79,,-- Other,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp."""
1654750,4,30281000010,30200000080,,3.02,"- Other fish, excluding edible fish offal of subheadings 0302 91 to 0302 99",
1654751,5,30281000080,30281000010,302.81,,-- Dogfish and other sharks,Fresh or chilled dogfish and other sharks
1654752,5,30282000080,30281000010,302.82,,-- Rays and skates (Rajidae),"Fresh or chilled, rays and skates ""Rajidae"""
1654753,5,30283000080,30281000010,302.83,,-- Toothfish (Dissostichus spp.),"Fresh or chilled toothfish ""Dissostichus spp."""
1654754,5,30284000080,30281000010,302.84,,-- Sea bass (Dicentrarchus spp.),"Fresh or chilled sea bass ""Dicentrarchus spp."""
1654755,5,30285000080,30281000010,302.85,,-- Sea bream (Sparidae),"Fresh or chilled sea bream ""Sparidae"""
1654756,5,30289000080,30281000010,302.89,,-- Other,"Fresh or chilled fish, n.e.s."
1654757,4,30291000010,30200000080,,3.02,"- Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal",
1654758,5,30291000080,30291000010,302.91,,"-- Livers, roes and milt","Fresh or chilled fish livers, roes and milt"
1654759,5,30292000080,30291000010,302.92,,-- Shark fins,Fresh or chilled shark fins
1654760,5,30299000080,30291000010,302.99,,-- Other,"Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt and shark fins)"
1654761,3,30300000080,30021000090,3.03,3,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304",Frozen fish (excl. fish fillets and other fish meat of heading 0304)
1654762,4,30311000010,30300000080,,3.03,"- Salmonidae, excluding edible fish offal of subheadings 030391 to 030399",
1654763,5,30311000080,30311000010,303.11,,-- Sockeye salmon (red salmon) (Oncorhynchus nerka),"Frozen sockeye salmon [red salmon] ""Oncorhynchus nerka"""
1654764,5,30312000080,30311000010,303.12,,"-- Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)","Frozen Pacific salmon (excl. sockeye salmon ""red salmon"")"
1654765,5,30313000080,30311000010,303.13,,-- Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),"Frozen, Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
1654766,5,30314000080,30311000010,303.14,,"-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
1654767,5,30319000080,30311000010,303.19,,-- Other,"Frozen salmonidae (excl. trout and Pacific, Atlantic and Danube salmon)"
1654768,4,30323000010,30300000080,,3.03,"- Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 030391 to 030399",
1654769,5,30323000080,30323000010,303.23,,-- Tilapias (Oreochromis spp.),"Frozen tilapia ""Oreochromis spp."""
1654770,5,30324000080,30323000010,303.24,,"-- Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
1654771,5,30325000080,30323000010,303.25,,"-- Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","Frozen carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."""
1654772,5,30326000080,30323000010,303.26,,-- Eels (Anguilla spp.),"Frozen eels ""Anguilla spp."""
1654773,5,30329000080,30323000010,303.29,,-- Other,"Frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.)"
1654774,4,30331000010,30300000080,,3.03,"- Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 030391 to 030399",
1654775,5,30331000080,30331000010,303.31,,"-- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)","Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus hippoglossus"" and Pacific halibut ""Hippoglossus stenolepis"""
1654776,5,30332000080,30331000010,303.32,,-- Plaice (Pleuronectes platessa),"Frozen plaice ""Pleuronectes platessa"""
1654777,5,30333000080,30331000010,303.33,,-- Sole (Solea spp.),"Frozen sole ""Solea spp."""
1654778,5,30334000080,30331000010,303.34,,-- Turbots (Psetta maxima),"Frozen turbot ""Psetta maxima"""
1654779,5,30339000080,30331000010,303.39,,-- Other,"Frozen flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"" (excl. halibut, plaice, sole and turbot)"
1654780,4,30341000010,30300000080,,3.03,"- Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 030391 to 030399",
1654781,5,30341000080,30341000010,303.41,,-- Albacore or longfinned tuna (Thunnus alalunga),"Frozen albacore or longfinned tunas ""Thunnus alalunga"""
1654782,5,30342000080,30341000010,303.42,,-- Yellowfin tuna (Thunnus albacares),"Frozen yellowfin tunas ""Thunnus albacares"""
1654783,5,30343000080,30341000010,303.43,,-- Skipjack or stripe-bellied bonito,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis"""
1654784,5,30344000080,30341000010,303.44,,-- Bigeye tuna (Thunnus obesus),"Frozen bigeye tunas ""Thunnus obesus"""
1654785,5,30345000080,30341000010,303.45,,"-- Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)","Frozen Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)"
1654786,5,30346000080,30341000010,303.46,,-- Southern bluefin tuna (Thunnus maccoyii),"Frozen Southern bluefin tunas ""Thunnus maccoyii"""
1654787,5,30349000080,30341000010,303.49,,-- Other,"Frozen tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)"
1654788,4,30351000010,30300000080,,3.03,"- Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 030391 to 030399",
1654789,5,30351000080,30351000010,303.51,,"-- Herrings (Clupea harengus, Clupea pallasii)","Frozen herrings ""Clupea harengus, Clupea pallasii"""
1654790,5,30353000080,30351000010,303.53,,"-- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)","Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling or sprats ""Sprattus sprattus"""
1654791,5,30354000080,30351000010,303.54,,"-- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)","Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"""
1654792,5,30355000080,30351000010,303.55,,-- Jack and horse mackerel (Trachurus spp.),"Frozen jack and horse mackerel ""Trachurus spp."""
1654793,5,30356000080,30351000010,303.56,,-- Cobia (Rachycentron canadum),"Frozen cobia ""Rachycentron canadum"""
1654794,5,30357000080,30351000010,303.57,,-- Swordfish (Xiphias gladius),"Frozen swordfish ""Xiphias gladius"""
1654795,5,30359000080,30351000010,303.59,,-- Other,"Frozen anchovies ""Engraulis spp."", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, crevalles ""Caranx spp."", silver pomfrets ""Pampus spp."", Pacific saury ""Cololabis saira"", scads ""Decapterus spp."", capelin ""Mallotus villosus"", Kawakawa ""Euthynnus affinis"", bonitos ""Sarda spp."", marlins, sailfishes and spearfish ""Istiophoridae"""
1654796,4,30363000010,30300000080,,3.03,"- Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 030391 to 030399",
1654797,5,30363000080,30363000010,303.63,,"-- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","Frozen cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"""
1654798,5,30364000080,30363000010,303.64,,-- Haddock (Melanogrammus aeglefinus),"Frozen haddock ""Melanogrammus aeglefinus"""
1654799,5,30365000080,30363000010,303.65,,-- Coalfish (Pollachius virens),"Frozen coalfish ""Pollachius virens"""
1654800,5,30366000080,30363000010,303.66,,"-- Hake (Merluccius spp., Urophycis spp.)","Frozen hake ""Merluccius spp., Urophycis spp."""
1654801,5,30367000080,30363000010,303.67,,-- Alaska pollock (Theragra chalcogramma),"Frozen Alaska pollack ""Theragra chalcogramma"""
1654802,5,30368000080,30363000010,303.68,,"-- Blue whiting (Micromesistius poutassou, Micromesistius australis)","Frozen blue whiting ""Micromesistius poutassou, Micromesistius australis"""
1654803,5,30369000080,30363000010,303.69,,-- Other,"Frozen fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake, Alaska pollack and blue whiting)"
1654804,4,30381000010,30300000080,,3.03,"- Other fish, excluding edible fish offal of subheadings 030391 to 030399",
1654805,5,30381000080,30381000010,303.81,,-- Dogfish and other sharks,Frozen dogfish and other sharks
1654806,5,30382000080,30381000010,303.82,,-- Rays and skates (Rajidae),"Frozen rays and skates ""Rajidae"""
1654807,5,30383000080,30381000010,303.83,,-- Toothfish (Dissostichus spp.),"Frozen toothfish ""Dissostichus spp."""
1654808,5,30384000080,30381000010,303.84,,-- Sea bass (Dicentrarchus spp.),"Frozen sea bass ""Dicentrarchus spp."""
1654809,5,30389000080,30381000010,303.89,,-- Other,"Frozen fish, n.e.s."
1654810,4,30391000010,30300000080,,3.03,"- Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal",
1654811,5,30391000080,30391000010,303.91,,"-- Livers, roes and milt","Frozen fish livers, roes and milt"
1654812,5,30392000080,30391000010,303.92,,-- Shark fins,Frozen shark fins
1654813,5,30399000080,30391000010,303.99,,-- Other,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt and shark fins)"
1654814,3,30400000080,30021000090,3.04,3,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen","Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"
1654815,4,30431000010,30400000080,,3.04,"- Fresh or chilled fillets of tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)",
1654816,5,30431000080,30431000010,304.31,,-- Tilapias (Oreochromis spp.),"Fresh or chilled fillets of tilapia ""Oreochromis spp."""
1654817,5,30432000080,30431000010,304.32,,"-- Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","Fresh or chilled fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
1654818,5,30433000080,30431000010,304.33,,-- Nile perch (Lates niloticus),"Fresh or chilled fillets of Nile perch ""Lates niloticus"""
1654819,5,30439000080,30431000010,304.39,,-- Other,"Fresh or chilled fillets of carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."",  eels ""Anguilla spp."" and snakeheads ""Channa spp."""
1654820,4,30441000010,30400000080,,3.04,- Fresh or chilled fillets of other fish,
1654821,5,30441000080,30441000010,304.41,,"-- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)","Fresh or chilled fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
